"['2013-05-23', '110.06', '110.7', '109.58', '110.41', '2550599', 'MMM', 108.76, 1.0152, 107.14, 1.0305]"
"['2013-05-24', '109.86', '110.49', '109.49', '110.27', '2228321', 'MMM', 109.08, 1.0109, 107.22, 1.0284]"
"['2013-05-28', '111.15', '112.38', '111.04', '111.59', '2721046', 'MMM', 109.47, 1.0194, 107.33, 1.0397]"
"['2013-05-29', '111.04', '111.36', '110.48', '111.13', '2113583', 'MMM', 109.79, 1.0122, 107.44, 1.0343]"
"['2013-05-30', '111.34', '112.0', '111.011', '111.42', '2599268', 'MMM', 110.14, 1.0116, 107.56, 1.0359]"
"['2013-05-31', '110.79', '112.211', '110.27', '110.27', '3207875', 'MMM', 110.35, 0.9993, 107.66, 1.0242]"
"['2013-06-03', '110.7', '110.95', '109.6901', '110.61', '2647752', 'MMM', 110.49, 1.0011, 107.77, 1.0264]"
"['2013-06-04', '110.65', '111.2', '109.53', '110.02', '2508594', 'MMM', 110.59, 0.9948, 107.84, 1.0202]"
"['2013-06-05', '109.8', '109.89', '108.395', '108.59', '2690309', 'MMM', 110.62, 0.9816, 107.91, 1.0063]"
"['2013-06-06', '108.46', '108.775', '107.64', '108.67', '2681095', 'MMM', 110.65, 0.9821, 107.96, 1.0066]"
"['2013-06-07', '109.38', '111.12', '108.97', '111.11', '3375913', 'MMM', 110.71, 1.0036, 108.08, 1.028]"
"['2013-06-10', '111.41', '111.45', '110.54', '110.81', '2224123', 'MMM', 110.72, 1.0008, 108.17, 1.0244]"
"['2013-06-11', '109.9', '111.08', '109.51', '110.22', '1752156', 'MMM', 110.71, 0.9956, 108.26, 1.0181]"
"['2013-06-12', '110.99', '111.06', '108.95', '109.03', '2400667', 'MMM', 110.63, 0.9855, 108.31, 1.0066]"
"['2013-06-13', '108.95', '111.44', '108.58', '111.2', '2603119', 'MMM', 110.62, 1.0052, 108.42, 1.0256]"
"['2013-06-14', '111.3', '112.07', '110.75', '111.03', '2016784', 'MMM', 110.61, 1.0038, 108.53, 1.023]"
"['2013-06-17', '111.85', '112.87', '111.6445', '111.91', '2617737', 'MMM', 110.64, 1.0115, 108.65, 1.03]"
"['2013-06-18', '112.07', '113.23', '111.9', '112.97', '1695374', 'MMM', 110.7, 1.0205, 108.79, 1.0384]"
"['2013-06-19', '112.96', '113.25', '111.53', '111.57', '1972177', 'MMM', 110.68, 1.008, 108.9, 1.0245]"
